title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number
NSDAR Minnesota State Society,nsdar-mn,state,NSDAR,nsdar,,american-revolution,American Revolution,MN,minnesota,Dakota County,dakota-county,,23258 Chippendale Ave W,Farmington,55024,44.6355261,-93.1369304,true,,,https://minnesotadar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Missouri State Society,nsdar-mo,state,NSDAR,nsdar,,american-revolution,American Revolution,MO,missouri,Cooper County,cooper-county,,Po Box 297,Boonville,65233,38.9751547,-92.7440277,true,,,https://mssdar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Mississippi State Society,nsdar-ms,state,NSDAR,nsdar,,american-revolution,American Revolution,MS,mississippi,Hinds County,hinds-county,,Po Box 55924,Jackson,39296,32.2998686,-90.1830408,true,,,https://mississippidar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Montana State Society,nsdar-mt,state,NSDAR,nsdar,,american-revolution,American Revolution,MT,montana,Lake County,lake-county,,43234 Canal Rd,Ronan,59864,47.5288233,-114.101501,true,,,http://www.montanadar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR North Carolina State Society,nsdar-nc,state,NSDAR,nsdar,,american-revolution,American Revolution,NC,north-carolina,Henderson County,henderson-county,,39 Caroline Ln,Pisgah Forest,28768,35.2723358,-82.7062357,true,,,https://public.ncdar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR North Dakota State Society,nsdar-nd,state,NSDAR,nsdar,,american-revolution,American Revolution,ND,north-dakota,Barnes County,barnes-county,,609 3rd St Ne,Valley City,58072,46.9254975,-97.9951019,true,,,https://www.nddar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR Nebraska State Society,nsdar-ne,state,NSDAR,nsdar,,american-revolution,American Revolution,NE,nebraska,Douglas County,douglas-county,,9512 Grand Ave,Omaha,68134,41.30291,-96.0615199,true,,,https://www.nebraskadar.com/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR New Hampshire State Society,nsdar-nh,state,NSDAR,nsdar,,american-revolution,American Revolution,NH,new-hampshire,Rockingham County,rockingham-county,,Po Box 675,E Hampstead,3826,42.8910542,-71.1425197,true,,,http://nhsodar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR New Jersey State Society,nsdar-nj,state,NSDAR,nsdar,,american-revolution,American Revolution,NJ,new-jersey,Burlington County,burlington-county,,190 Highland Ave,Moorestown,8057,39.9579658,-74.9581027,true,,,https://www.njdar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
NSDAR New Mexico State Society,nsdar-nm,state,NSDAR,nsdar,,american-revolution,American Revolution,NM,new-mexico,Bernalillo County,bernalillo-county,,3000 Mackland Ave Ne,Albuquerque,87106,35.091691,-106.612099,true,,,https://www.nmsodar.org/,https://www.facebook.com/TodaysDAR,,https://twitter.com/TodaysDAR,https://www.youtube.com/todaysdar,https://www.linkedin.com/company/daughters-of-the-american-revolution/,
